SCENE_ID,REASON
LC08_010028_20150830,Error
LC08_011031_20150906,Error
LC08_010027_20150915,Error
LC08_010029_20151102,Error
LC08_021040_20151115,Error
LE07_021040_20151123,Error
LE07_012032_20151210,Error
LC08_046033_20151216,Error
LE07_041037_20151221,Error
LC08_027042_20151227,Error
LC08_048026_20151230,Error
LE07_013034_20160102,Error
LC08_037038_20160102,Error
LC08_011031_20160112,Error
LC08_021040_20160118,Error
LC08_012032_20160119,Error
LE07_011031_20160120,Error
LC08_011030_20160128,Error
LC08_011031_20160128,Error
LC08_037038_20160203,Error
LE07_013031_20160219,Error
LC08_010028_20160222,Error
LE07_010028_20160301,Error
LC08_021040_20160322,Error
LE07_046032_20160329,Error
LE07_010027_20160418,Error
LE07_015040_20160421,Error
LE07_024040_20160506,Error
LC08_010027_20160512,Error
LC08_046032_20160524,Error
LE07_013034_20160525,Error
LC08_011027_20160706,Error
LC08_011031_20160706,Error
LC08_046033_20160711,Error
LC08_010027_20160715,Error
LC08_010028_20160715,Error
LE07_012032_20160721,Error
LE07_010027_20160723,Error
LC08_013032_20160805,Error
LC08_010027_20160816,Error
LE07_010027_20160824,Error
LE07_010029_20160909,Error
LC08_010027_20161003,Error
LC08_012032_20161017,Error
LC08_010027_20161019,Error
LE07_011030_20161119,Error
LC08_011031_20161213,Error
LC08_048027_20161216,Error
LC08_046033_20161218,Error
LE07_013034_20170309,Error
LC08_013032_20170317,Error
LE07_013034_20170410,Error
LE07_041037_20170414,Error
LE07_024040_20170423,Error
LC08_048026_20170525,Error
LC08_023040_20170526,Error
LE07_012032_20170622,Error
LE07_013034_20170715,Error
LC08_010027_20170718,Error
LE07_023040_20170721,Error
LE07_010027_20170726,Error
LE07_010029_20170726,Error
LC08_046032_20170730,Error
LC08_010028_20170803,Error
LE07_048026_20170805,Error
LE07_010027_20170811,Error
LE07_010028_20170811,Error
LC08_046033_20170815,Error
LC08_012032_20170817,Error
LE07_010027_20170912,Error
LC08_021040_20170917,Error
LC08_010027_20170920,Error
LC08_024040_20170922,Error
LE07_010027_20170928,Error
LC08_010027_20171006,Error
LC08_010028_20171006,Error
LC08_046033_20171018,Error
LC08_012032_20171020,Error
LC08_010029_20171022,Error
LC08_021040_20171104,Error
LE07_013034_20171120,Error
LC08_010027_20171123,Error
LC08_010028_20171123,Error
LC08_011031_20171130,Error
LC08_048026_20171203,Error
LC08_046032_20171205,Error
LC08_046033_20171205,Error
LE07_046032_20171213,Error
LE07_010028_20171217,Error
LE07_010029_20171217,Error
LC08_037038_20171222,Error
LE07_038038_20180106,Error
LE07_013034_20180107,Error
LC08_037038_20180107,Error
LC08_037038_20180123,Error
LC08_012032_20180124,Error
LC08_010028_20180126,Error
LC08_010029_20180126,Error
LE07_041037_20180127,Error
LC08_010028_20180227,Error
LC08_021040_20180312,Error
LE07_024040_20180325,Error
LE07_023040_20180403,Error
LE07_010028_20180424,Error
LC08_010027_20180502,Error
LE07_010027_20180510,Error
LC08_021040_20180515,Error
LC08_010027_20180518,Error
LE07_022040_20180530,Error
LC08_010027_20180603,Error
LE07_010027_20180611,Error
LC08_011031_20180626,Error
LE07_024040_20180629,Error
LE07_013034_20180702,Error
LC08_010027_20180705,Error
LE07_011031_20180720,Error
LE07_010027_20180729,Error
LE07_010028_20180729,Error
LC08_010027_20180806,Error
LE07_046033_20180826,Error
LC08_046032_20180903,Error
LC08_046033_20180903,Error
LE07_013034_20180904,Error
LC08_011031_20181016,Error
LE07_013034_20181022,Error
LC08_046032_20181106,Error
LE07_013034_20181107,Error
LE07_021040_20181115,Error
LC08_011031_20181117,Error
LC08_010029_20181212,Error
LE07_013034_20190110,Error
LC08_041034_20190122,Error
LC08_046032_20190125,Error
LC08_010029_20190129,Error
LE07_010029_20190206,Error
LC08_016038_20190208,Error
LE07_016039_20190216,Error
LC08_048026_20190224,Error
LE07_012032_20190308,Error
LC08_046033_20190314,Error
LE07_013034_20190416,Error
LC08_015040_20190422,Error
LE07_015040_20190430,Error
LC08_010027_20190505,Error
LC08_047030_20190508,Error
LE07_012032_20190511,Error
LE07_010027_20190513,Error
LE07_012032_20190612,Error
LC08_044035_20190620,Error
LC08_010027_20190622,Error
LC08_013033_20190713,Error
LC08_046033_20190720,Error
LC08_010027_20190724,Error
LC08_010029_20190724,Error
LE07_011031_20190808,Error
LE07_015040_20190820,Error
LC08_021040_20190822,Error
LC08_010027_20190825,Error
LC08_011031_20190901,Error
LC08_048027_20190904,Error
LE07_013034_20190907,Error
LC08_011031_20190917,Error
LE07_013033_20190923,Error
LE07_013034_20190923,Error
LC08_010027_20190926,Error
LE07_048026_20190928,Error
LE07_024040_20191006,Error
LE07_010029_20191020,Error
LC08_046033_20191024,Error
LC08_015040_20191031,Error
LE07_013033_20191110,Error
LE07_013034_20191110,Error
LE07_045034_20191110,Error
LE07_041037_20191114,Error
LE07_024040_20191123,Error
LC08_039032_20191210,Error
LC08_015040_20200103,Error
LC08_042031_20200116,Error
LE07_011030_20200131,Error
LE07_015040_20200212,Error
LC08_011031_20200224,Error
LC08_021040_20200402,Error
LC08_011031_20200412,Error
LE07_010027_20200429,Error
LC08_046033_20200503,Error
LE07_010027_20200515,Error
LC08_016039_20200517,Error
LC08_010029_20200523,Error
LC08_011031_20200530,Error
LE07_047030_20200603,Error
LE07_013033_20200605,Error
LE07_013034_20200605,Error
LC08_010027_20200624,Error
LE07_023027_20200627,Error
LE07_030026_20200628,Error
LE07_046033_20200628,Error
LE07_021027_20200629,Error
LE07_021028_20200629,Error
LE07_021033_20200629,Error
LE07_037035_20200629,Error
LE07_037038_20200629,Error
LC08_027042_20200701,Error
LE07_011027_20200709,Error
LC08_010027_20200710,Error
LC08_010029_20200710,Error
LC08_015040_20200729,Error
LE07_015040_20200806,Error
LC08_010027_20200811,Error
LC08_010028_20200811,Error
LC08_024040_20200829,Error
LE07_010027_20200904,Error
LC08_047029_20200915,Error
LC08_010027_20200928,Error
LE07_048026_20200930,Error
LE07_012032_20201004,Error
LC08_016039_20201008,Error
LC08_021040_20201011,Error
LE07_046033_20201018,Error
LC08_013032_20201019,Error
LE07_015041_20201025,Error
LE07_012032_20201105,Error
LE07_012031_20201121,Error
LE07_026037_20201123,Error
LE07_013034_20201128,Error
LC08_047031_20201204,Error
LE07_041037_20201218,Error
LE07_046033_20201221,Error
LC08_046032_20210114,Error
LE07_046033_20210223,Error
LC08_046033_20210303,Error
LE07_012030_20210313,Error
LE07_013033_20210320,Error
LE07_013034_20210320,Error
LE07_046033_20210412,Error
LE07_013034_20210421,Error
LE07_041037_20210425,Error
LC08_021040_20210507,Error
LC08_010027_20210510,Error
LE07_012032_20210516,Error
LC08_048026_20210520,Error
LC08_021040_20210523,Error
LC08_011031_20210602,Error
LC08_021040_20210608,Error
LC08_021040_20210624,Error
LC08_011027_20210720,Error
LC08_011030_20210720,Error
LC08_011031_20210720,Error
LE07_019031_20210720,Error
LC08_010027_20210729,Error
LC08_010029_20210729,Error
LE07_010027_20210806,Error
LE07_015040_20210809,Error
LC08_010027_20210814,Error
LC08_015040_20210817,Error
LE07_048026_20210901,Error
LC08_011031_20210922,Error
LE07_010027_20210923,Error
LE07_010028_20210923,Error
LE07_015040_20211012,Error
LC08_024040_20211019,Error
LE07_010027_20211025,Error
LE07_047029_20211113,Error
LC08_011031_20211125,Error
LC08_021040_20211201,Error
LE07_029036_20211201,Error
LC08_010027_20211204,Error
LC08_010029_20211204,Error
LC08_011029_20211227,Error
LC09_041037_20220106,Error
LC09_012032_20220111,Error
LC08_021040_20220118,Error
LC08_037038_20220118,Error
LC09_012032_20220127,Error
LC09_015040_20220217,Error
LC09_015041_20220217,Error
LC09_015040_20220305,Error
LC08_010029_20220310,Error
LC09_024040_20220320,Error
LC09_046032_20220330,Error
LC09_010027_20220505,Error
LC08_015040_20220516,Error
LC09_021040_20220518,Error
LC09_027042_20220528,Error
LC08_015040_20220601,Error
LC09_021040_20220603,Error
LC09_010027_20220606,Error
LC08_010029_20220614,Error
LC09_046033_20220618,Error
LC09_021040_20220619,Error
LC08_011031_20220621,Error
LC09_011031_20220629,Error
LC08_015040_20220703,Error
LC08_011031_20220707,Error
LC08_013033_20220721,Error
LC08_010027_20220801,Error
LC09_012032_20220807,Error
LC08_023040_20220828,Error
LC08_021040_20220830,Error
LC09_011031_20220901,Error
LC08_010027_20220902,Error
LC09_046032_20220906,Error
LC09_010027_20220910,Error
LC08_021040_20220915,Error
LC08_010027_20220918,Error
LC08_046033_20220930,Error
LC09_045034_20221017,Error
LC09_010029_20221028,Error
LC09_045034_20221102,Error
LC09_011031_20221104,Error
LC08_010027_20221105,Error
LC08_041037_20221114,Error
LC08_021040_20221118,Error
LC08_010028_20221121,Error
LC09_010027_20221129,Error
LC08_041037_20221216,Error
LC08_011031_20221230,Error
LC08_024040_20230110,Error
LC09_037038_20230113,Error
LC08_037038_20230121,Error
LC09_037038_20230129,Error
LC08_041035_20230202,Error
LC08_012032_20230207,Error
LC09_037038_20230214,Error
LC08_037038_20230222,Error
LC08_012032_20230327,Error
LC09_016038_20230331,Error
LC09_048026_20230502,Error
LC08_021040_20230513,Error
LC08_011031_20230523,Error
LC09_010028_20230524,Error
LC09_011031_20230531,Error
LC08_010027_20230601,Error
LC08_047030_20230604,Error
LC08_011031_20230608,Error
LC08_012032_20230615,Error
LC08_011027_20230624,Error
LC09_013033_20230630,Error
LC08_013033_20230708,Error
LC09_011027_20230718,Error
LC09_021040_20230809,Error
LC08_012032_20230903,Error
LC08_010027_20230905,Error
LC09_047031_20230916,Error
LC08_012032_20230919,Error
LC08_010027_20231023,Error
LC08_024040_20231025,Error
LC09_046032_20231027,Error
LC08_014033_20231104,Error
LC08_012032_20231106,Error
LC08_047030_20231213,Error
LC08_047031_20231213,Error
LC09_037038_20231231,Error
LC08_011030_20240102,Error
LC08_046033_20240107,Error
LC08_037038_20240108,Error
LC09_010029_20240204,Error
LC08_011030_20240219,Error
LC09_038038_20240224,Error
LC09_011031_20240227,Error
LC08_040035_20240301,Error
LC08_012032_20240313,Error
LC09_039036_20240318,Error
LC09_027042_20240330,Error
LC08_010028_20240331,Error
LC09_023040_20240419,Error
LC08_011031_20240423,Error
LC08_046033_20240428,Error
LC08_046032_20240514,Error
LC09_011031_20240517,Error
LC08_047031_20240521,Error
LC09_021040_20240523,Error
LC08_011031_20240525,Error
LC08_046032_20240530,Error
LC09_021040_20240608,Error
LC08_011031_20240610,Error
LC09_011030_20240618,Error
LC08_010027_20240619,Error
LC09_015040_20240630,Error
LC09_011031_20240704,Error
LC08_010029_20240721,Error
LC09_010027_20240729,Error
LC08_010027_20240806,Error
LC09_041037_20240807,Error
LC08_011031_20240813,Error
LC09_010027_20240814,Error
LC09_021040_20240827,Error
LC08_047031_20240910,Error
LC09_010027_20240915,Error
LC09_015041_20241004,Error
LC09_046033_20241013,Error
LC08_013032_20241030,Error
LC09_021040_20241030,Error
LC08_010027_20241110,Error
LC09_021040_20241115,Error
LC08_021040_20241123,Error
LC08_012030_20241124,Error
LC09_027042_20241125,Error
LC09_048027_20241128,Error
LC08_047031_20241129,Error
LC09_021040_20241201,Error
LC09_012031_20241202,Error
LC08_038038_20241216,Error
LC09_037038_20241217,Error
LC08_037038_20241225,Error
LC09_011031_20241227,Error
LC09_021040_20250102,Error
LC09_046033_20250117,Error
LC09_012031_20250204,Error
LC09_038038_20250210,Error
LC08_046033_20250210,Error
LC08_013032_20250307,Error
LC08_023040_20250313,Error
LC08_024040_20250405,Error
LC09_024040_20250413,Error
LC09_021040_20250526,Error
LC09_011031_20250605,Error
LC08_010027_20250606,Error
LC08_010029_20250606,Error
LC09_025040_20250607,Error
LC09_021040_20250611,Error
LC09_010027_20250716,Error
LC09_010027_20250801,Error
LC08_010027_20250809,Error
LC09_010028_20250817,Error
LC08_016039_20250819,Error
LC08_013032_20250830,Error
LC09_010027_20250902,Error
LC08_047031_20250913,Error
LC09_010027_20250918,Error
LC08_016039_20250920,Error
LC08_010027_20250926,Error
LC09_024040_20251006,Error
LC08_010027_20251012,Error
LC08_041037_20251021,Error
LC09_016038_20251030,Error
LC09_010027_20251105,Error
LC09_024040_20251107,Error
LC08_021040_20251110,Error
LC08_010027_20251113,Error
LC08_010028_20251113,Error
LC09_025039_20251114,Error
LC08_024040_20251115,Error
LC09_037038_20251118,Error
LC08_046033_20251125,Error
LC09_011030_20251128,Error
LC09_041037_20251216,Error
LC09_010027_20251223,Error
LC08_048026_20251225,Error
LC08_010028_20251231,Error
LC08_021040_20260113,Error
LC08_013033_20260121,Error
LC09_011031_20260320,Error
LC09_024040_20260331,Error
LC08_010027_20260422,Error
LC08_013033_20260427,Error
LC09_010027_20260430,Error
LC09_010028_20260430,Error
LC09_010027_20260516,Error
LC09_048026_20260526,Error
LC08_015040_20260527,Error
