SCENE_ID,REASON
LC08_022040_20190407,Cloud/Missing
LE07_022040_20190501,Cloud
LC08_022040_20190509,Cloud
LC08_022040_20190626,Cloud
LC08_022040_20191117,Cloud
LE07_022040_20200316,Cloud
LC08_022040_20200409,Cloud
LE07_022040_20200924,Cloud
LE07_022040_20201111,Cloud/Missing
LE07_022040_20201127,Cloud
LC08_022040_20210327,Cloud/Missing
LE07_022040_20210607,Cloud
LE07_022040_20210623,Cloud
LC08_022040_20210919,Cloud
LE07_022040_20211013,Cloud
LC09_022040_20220101,Cloud
LC08_022040_20220109,Cloud
LC09_022040_20220218,Cloud
LC09_022040_20220306,Cloud
LC09_022040_20220322,Cloud/Missing
LC08_022040_20220330,Cloud
LC08_022040_20220906,Cloud
LC09_022040_20221219,Cloud/Missing
LC08_022040_20230112,Cloud/Missing
LC09_022040_20230221,Cloud/Cirrus
LC08_022040_20230301,Cloud
LC08_022040_20230402,Cloud
LC09_022040_20230613,Cloud
LC08_022040_20230925,Cloud
LC09_022040_20240107,Cloud
LC09_022040_20240208,Cloud
LC09_022040_20240311,Cloud
LC08_023031_20220201,Cloud/Snow/Missing
LT05_023032_20010106,Cloud/Snow
LT05_023032_20040216,Cloud/Snow
LT05_023032_20050117,Cloud/Snow
LE07_023032_20150614,Cloud
LC08_023032_20181004,Cloud/Missing
LE07_023032_20190913,Cloud
LE07_023032_20210817,Cloud
LC08_023032_20220201,Cloud/Missing
LC08_023032_20221202,Cloud/Missing
LE07_023033_20170211,Cloud/Cirrus/Missing
LC08_023033_20171204,Cloud
LE07_023033_20180419,Cloud
LE07_023033_20190609,Cloud
LC09_023033_20211223,Cloud/Missing
LC08_023034_20150129,Cloud/Cirrus
LC08_023034_20180411,Cloud/Cirrus
LE07_023034_20181129,Cloud/Missing
LE07_023034_20190406,Cloud/Cirrus
LE07_023034_20190609,Cloud
LC08_023034_20221202,Cloud/Snow/Missing
LC08_023035_20150129,Cloud/Cirrus
LE07_023035_20150529,Cloud
LE07_023035_20200408,Cloud/Missing
LE07_023035_20210716,Cloud
LC08_023035_20230815,Cloud
